,id,tags,light,point,nearby,region,scheme,address,weather,category,datetime,severity,dead_count,injured_count,parent_region,road_conditions,victim_counts,victim_categories,geometry,victim_role,victim_gender,victim_violations,victim_health_status,vehicle_year,vehicle_brand,vehicle_color,vehicle_model,vehicle_category,guilty_role,guilty_gender,guilty_violations,guilty_health_status,guilty_years_of_driving_experience,season,month,day_of_week,time_of_day,hijri,hijri_month_name,in_first_three_days_of_shawwal,vehicle_year_bin_eq_width,guilty_driving_experience_bin
0,2572468,ДТП,"В темное время суток, без освещения","{lat: 43.461735, long: 44.760725}",Uknown,Малгобекский район,70.0,"Назрань-Малгобек-Н. Курп-Терек, 39 км",Ясно,Столкновение,2021-05-15 22:40:00,С погибшими,2,0,Республика Ингушетия,Сухое,4,Автомобиль,POINT (44.760725 43.461735),,,,,2013.0,ВАЗ,Белый,ВАЗ 2114 и модификации,B — маленькие автомобили,Пассажир,Мужской,Uknown,Скончался,,Spring,5,Saturday,night,1442-10-03,Shawwal,1,2010-2014,
1,2557528,ДТП,"В темное время суток, без освещения","{lat: 43.502192, long: 44.586961}"," Выезд с прилегающей территории, Жилые дома индивидуальной застройки, Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта) ",Малгобекский район,820.0,"г Малгобек, ул Физкультурная, 1",Ясно,Наезд на пешехода,2021-03-26 19:15:00,Тяжёлый,0,1,Республика Ингушетия,"Сухое, Отсутствие освещения",2,Пешеходы,POINT (44.586961 43.502192),Пешеход,Женский,Отсутствие световозвращающих элементов,Стационарный раненый,2007.0,ВАЗ,Черный,Priora,C — среднеразмерные автомобили,Водитель,Мужской,"Несоответствие скорости конкретным условиям движения, Эксплуатация ТС с техническими неисправностями, при которых запрещается их эксплуатация, Управление ТС лицом, не имеющим права на управление ТС, Несоблюдение требований ОСАГО",Не пострадал,,Winter,3,Friday,evening,1442-08-13,Shaban,0,2005-2009,
2,2557534,ДТП,"В темное время суток, освещение включено","{lat: 43.479293, long: 44.641796}"," АЗС, Нерегулируемый пешеходный переход, Нерегулируемое пересечение с круговым движением ",Малгобекский район,930.0,"с/п Сагопши, Назрань-Малгобек-Н. Курп-Терек, 52 км",Ясно,Наезд на препятствие,2021-03-09 02:30:00,С погибшими,1,2,Республика Ингушетия,Сухое,4,Автомобиль,POINT (44.641796 43.479293),,,,,2011.0,ВАЗ,Черный,ВАЗ 2114 и модификации,C — среднеразмерные автомобили,Пассажир,Мужской,Uknown,Скончался,,Winter,3,Tuesday,night,1442-07-25,Rajab,0,2010-2014,
3,2654947,ДТП,"В темное время суток, без освещения","{lat: 43.479713, long: 44.76506}", Жилые дома индивидуальной застройки ,Малгобекский район,910.0,"с Зязиков-Юрт, Зязиков-Юрт-Гарагорск, 2 км",Пасмурно,Наезд на стоящее ТС,2021-11-28 19:35:00,Тяжёлый,0,1,Республика Ингушетия,Сухое,2,Автомобиль,POINT (44.76506 43.479713),,,,,2003.0,ВАЗ,Серый," Жигули  ВАЗ-2108, 09 и модификации                       ",C — среднеразмерные автомобили,Водитель,Мужской,"Управление ТС лицом, не имеющим права на управление ТС, Несоблюдение требований ОСАГО",Не пострадал,,Fall,11,Sunday,evening,1443-04-23,Rabi Al-Thani,0,2000-2004,
4,2654948,ДТП,"В темное время суток, без освещения","{lat: 43.402366, long: 44.756477}", Жилые дома индивидуальной застройки ,Малгобекский район,210.0,"с Нижние Ачалуки, ул Шоссейная, 11",Ясно,Столкновение,2021-11-21 18:00:00,Тяжёлый,0,1,Республика Ингушетия,"Неисправное освещение, Сухое",2,Автомобиль,POINT (44.756477 43.402366),,,,,2005.0,ВАЗ,Серый,ВАЗ 2112 и модификации,C — среднеразмерные автомобили,Водитель,Мужской,Uknown,Не пострадал,9.0,Fall,11,Sunday,evening,1443-04-16,Rabi Al-Thani,0,2005-2009,6-10
5,2654951,ДТП,"В темное время суток, без освещения","{lat: 43.479441, long: 44.652321}",Uknown,Малгобекский район,210.0,"с/п Сагопши, Назрань-Малгобек-Н. Курп-Терек, 49 км",Ясно,Столкновение,2021-11-20 19:10:00,Тяжёлый,0,1,Республика Ингушетия,Сухое,4,Автомобиль,POINT (44.652321 43.479441),,,,,2011.0,ВАЗ,Белый,ВАЗ 2115 и модификации,B — маленькие автомобили,Водитель,Мужской,Uknown,Не пострадал,25.0,Fall,11,Saturday,evening,1443-04-15,Rabi Al-Thani,0,2010-2014,26-30
6,2654955,ДТП,"В темное время суток, без освещения","{lat: 43.512222, long: 44.597347}", Жилые дома индивидуальной застройки ,Малгобекский район,820.0,"г Малгобек, ул Промышленная, 2",Ясно,Наезд на пешехода,2021-11-16 20:50:00,Тяжёлый,0,1,Республика Ингушетия,"Сухое, Отсутствие дорожных знаков в необходимых местах, Отсутствие освещения",2,Пешеходы,POINT (44.597347 43.512222),Пешеход,Мужской,"Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка), Отсутствие световозвращающих элементов",Стационарный раненый,2000.0,HYUNDAI,Черный,Прочие модели Hyundai,C — среднеразмерные автомобили,Водитель,Мужской,Uknown,Не пострадал,16.0,Fall,11,Tuesday,evening,1443-04-11,Rabi Al-Thani,0,2000-2004,16-20
7,2643251,ДТП,"В темное время суток, освещение включено","{lat: 43.510355, long: 44.585363}"," Многоквартирные жилые дома, Нерегулируемый пешеходный переход ",Малгобекский район,740.0,"г Малгобек, ул Осканова, 6",Дождь,Наезд на пешехода,2021-10-03 18:00:00,С погибшими,1,0,Республика Ингушетия,Мокрое,2,Пешеходы,POINT (44.585363 43.510355),Пешеход,Мужской,Отсутствие световозвращающих элементов,Скончался,2012.0,ВАЗ,Черный,Priora,C — среднеразмерные автомобили,Водитель,Мужской,"Несоответствие скорости конкретным условиям движения, Светопропускание стекол менее нормативного",Не пострадал,6.0,Fall,10,Sunday,evening,1443-02-26,Safar,0,2010-2014,6-10
8,2449134,ДТП с Детьми,Сумерки,"{lat: 43.345842, long: 44.695301}"," Жилые дома индивидуальной застройки, Нерегулируемый перекрёсток, Объект торговли, общественного питания на автодороге вне НП, Объект (здание, сооружение) религиозного культа ",Малгобекский район,820.0,"с Верхние Ачалуки, ул Бекова, 0",Ясно,Наезд на пешехода,2018-07-19 20:10:00,Тяжёлый,0,2,Республика Ингушетия,"Сухое, Неправильное применение, плохая видимость дорожных знаков",5,Дети,POINT (44.695301 43.345842),Пешеход,Мужской,"Пешеход в возрасте до 7 лет без взрослого, Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода",Стационарный раненый,2007.0,ВАЗ,Зеленый,ВАЗ 2114 и модификации,B — маленькие автомобили,Водитель,Мужской,"Несоответствие скорости конкретным условиям движения, Несоблюдение требований ОСАГО",Не пострадал,5.0,Summer,7,Thursday,evening,1439-11-06,Dhu Al-Qadah,0,2005-2009,6-10
9,2540525,ДТП,"В темное время суток, освещение включено","{lat: 43.49553, long: 44.581468}"," Жилые дома индивидуальной застройки, Нерегулируемый перекрёсток неравнозначных улиц (дорог), Нерегулируемый пешеходный переход ",Малгобекский район,420.0,"г Малгобек, ул Осканова, 112",Ясно,Столкновение,2021-01-29 21:50:00,Тяжёлый,0,1,Республика Ингушетия,"Сухое, Неправильное применение, плохая видимость дорожных знаков",3,Автомобиль,POINT (44.581468 43.49553),,,,,2004.0,ВАЗ,Серый,ВАЗ 2114 и модификации,C — среднеразмерные автомобили,Водитель,Мужской,"Управление ТС лицом, лишенным права управления, Несоблюдение требований ОСАГО",Не пострадал,,Winter,1,Friday,night,1442-06-16,Jumada Al-Thani,0,2000-2004,
