,id,tags,light,point,region,scheme,address,weather,category,datetime,severity,dead_count,injured_count,parent_region,participants_count,participant_categories,geometry,participant_role,participant_gender,participant_health_status,vehicle_year,vehicle_brand,vehicle_color,vehicle_model,vehicle_category,status_role,status_gender,status_health_status,status_years_of_driving_experience,status_violations_cluster_categories,participant_violations_cluster_categories,nearby_cluster_categories,road_conditions_cluster_categories
0,2572468,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.461735, 'long': 44.760725}",Малгобекский район,70.0,"Назрань-Малгобек-Н. Курп-Терек, 39 км",['Ясно'],Столкновение,2021-05-15 22:40:00,С погибшими,2,0,Республика Ингушетия,4,['Все участники'],POINT (44.760725 43.461735),,,,2013.0,ВАЗ,Белый,ВАЗ 2114 и модификации,"В-класс (малый) до 3,9 м",Пассажир,Мужской,Скончался при транспортировке,,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""","""Uknown Area Car Accidents""","""Dry Road Conditions"""
1,2557528,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.502192, 'long': 44.586961}",Малгобекский район,820.0,"г Малгобек, ул Физкультурная, 1",['Ясно'],Наезд на пешехода,2021-03-26 19:15:00,Тяжёлый,0,1,Республика Ингушетия,2,"['Все участники', 'Пешеходы']",POINT (44.586961 43.502192),Пешеход,Женский,"Раненый, находящийся (находившийся) на стационарном лечении",2007.0,ВАЗ,Черный,Priora,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,Не пострадал,,"""Accident Due to Control by Person Without Driving Rights""","""Lack of Reflective Elements Violation""",Residential Area Unregulated Individual Houses,Absence of Lighting on Dry Roads
2,2557534,['Дорожно-транспортные происшествия'],"В темное время суток, освещение включено","{'lat': 43.479293, 'long': 44.641796}",Малгобекский район,930.0,"с/п Сагопши, Назрань-Малгобек-Н. Курп-Терек, 52 км",['Ясно'],Наезд на препятствие,2021-03-09 02:30:00,С погибшими,1,2,Республика Ингушетия,4,['Все участники'],POINT (44.641796 43.479293),,,,2011.0,ВАЗ,Черный,ВАЗ 2114 и модификации,"С-класс (малый средний, компактный) до 4,3 м",Пассажир,Мужской,Скончался в течение 7 суток,,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""",Residential Area Unregulated Individual Houses,"""Dry Road Conditions"""
3,2654947,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.479713, 'long': 44.76506}",Малгобекский район,910.0,"с Зязиков-Юрт, Зязиков-Юрт-Гарагорск, 2 км",['Пасмурно'],Наезд на стоящее ТС,2021-11-28 19:35:00,Тяжёлый,0,1,Республика Ингушетия,2,['Все участники'],POINT (44.76506 43.479713),,,,2003.0,ВАЗ,Серый," Жигули  ВАЗ-2108, 09 и модификации                       ","С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,Не пострадал,,"""Accident Due to Control by Person Without Driving Rights""","""Unknown Pedestrian Violations in Car Accidents""",Residential Areas with Individual Houses,"""Dry Road Conditions"""
4,2654948,['Дорожно-транспортные происшествия'],"В темное время суток, освещение не включено","{'lat': 43.402366, 'long': 44.756477}",Малгобекский район,210.0,"с Нижние Ачалуки, ул Шоссейная, 11",['Ясно'],Столкновение,2021-11-21 18:00:00,Тяжёлый,0,1,Республика Ингушетия,2,['Все участники'],POINT (44.756477 43.402366),,,,2005.0,ВАЗ,Серый,ВАЗ 2112 и модификации,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,Не пострадал,9.0,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""",Residential Areas with Individual Houses,"Faulty Lighting, Dry Road Conditions"
5,2654951,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.479441, 'long': 44.652321}",Малгобекский район,210.0,"с/п Сагопши, Назрань-Малгобек-Н. Курп-Терек, 49 км",['Ясно'],Столкновение,2021-11-20 19:10:00,Тяжёлый,0,1,Республика Ингушетия,4,['Все участники'],POINT (44.652321 43.479441),,,,2011.0,ВАЗ,Белый,ВАЗ 2115 и модификации,"В-класс (малый) до 3,9 м",Водитель,Мужской,Не пострадал,25.0,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""","""Uknown Area Car Accidents""","""Dry Road Conditions"""
6,2654955,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.512222, 'long': 44.597347}",Малгобекский район,820.0,"г Малгобек, ул Промышленная, 2",['Ясно'],Наезд на пешехода,2021-11-16 20:50:00,Тяжёлый,0,1,Республика Ингушетия,2,"['Все участники', 'Пешеходы']",POINT (44.597347 43.512222),Пешеход,Мужской,"Раненый, находящийся (находившийся) на стационарном лечении",2000.0,HYUNDAI,Черный,Прочие модели Hyundai,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,Не пострадал,16.0,Unknown Violations in Car Accidents,"""Pedestrian Crosswalk Violation at an Unspecified Location Near Visible Intersection Zone""",Residential Areas with Individual Houses,"""Absence in Necessary Features of Road"""
7,2643251,['Дорожно-транспортные происшествия'],"В темное время суток, освещение включено","{'lat': 43.510355, 'long': 44.585363}",Малгобекский район,740.0,"г Малгобек, ул Осканова, 6",['Дождь'],Наезд на пешехода,2021-10-03 18:00:00,С погибшими,1,0,Республика Ингушетия,2,"['Все участники', 'Пешеходы']",POINT (44.585363 43.510355),Пешеход,Мужской,Скончался в течение 1 суток,2012.0,ВАЗ,Черный,Priora,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,Не пострадал,6.0,"""Non-compliance with Speed under Specific Traffic Conditions""","""Lack of Reflective Elements Violation""",Residential Area Unregulated Individual Houses,"""Wet Roads Accidents"""
8,2449134,"['Дорожно-транспортные происшествия', 'ДТП и пострадавшие дети в возрасте до 16 лет']",Сумерки,"{'lat': 43.345842, 'long': 44.695301}",Малгобекский район,820.0,"с Верхние Ачалуки, ул Бекова, 0",['Ясно'],Наезд на пешехода,2018-07-19 20:10:00,Тяжёлый,0,2,Республика Ингушетия,5,"['Все участники', 'Пешеходы', 'Дети']",POINT (44.695301 43.345842),Пешеход,Мужской,"Раненый, находящийся (находившийся) на стационарном лечении",2007.0,ВАЗ,Зеленый,ВАЗ 2114 и модификации,"В-класс (малый) до 3,9 м",Водитель,Мужской,Не пострадал,5.0,"""Non-compliance with Speed under Specific Traffic Conditions""",Pedestrian Unexpectedly Emerging From Behind Parked Vehicle Violation,Residential Area Unregulated Individual Houses,Poor Road Conditions
9,2540525,['Дорожно-транспортные происшествия'],"В темное время суток, освещение включено","{'lat': 43.49553, 'long': 44.581468}",Малгобекский район,420.0,"г Малгобек, ул Осканова, 112",['Ясно'],Столкновение,2021-01-29 21:50:00,Тяжёлый,0,1,Республика Ингушетия,3,['Все участники'],POINT (44.581468 43.49553),,,,2004.0,ВАЗ,Серый,ВАЗ 2114 и модификации,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,Не пострадал,,"""Accident Due to Control by Person Without Driving Rights""","""Unknown Pedestrian Violations in Car Accidents""",Unregulated Intersection Street Accidents,Poor Road Conditions
