,id,tags,light,point,nearby,region,scheme,address,weather,category,datetime,severity,dead_count,injured_count,parent_region,road_conditions,participants_count,participant_categories,geometry,participant_role,participant_gender,participant_violations,participant_health_status,vehicle_year,vehicle_brand,vehicle_color,vehicle_model,vehicle_category,status_role,status_gender,status_violations,status_health_status,status_years_of_driving_experience
0,2572468,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.461735, 'long': 44.760725}","[""Uknown""]",Малгобекский район,70.0,"Назрань-Малгобек-Н. Курп-Терек, 39 км",['Ясно'],Столкновение,2021-05-15 22:40:00,С погибшими,2,0,Республика Ингушетия,['Сухое'],4,['Все участники'],POINT (44.760725 43.461735),,,,,2013.0,ВАЗ,Белый,ВАЗ 2114 и модификации,"В-класс (малый) до 3,9 м",Пассажир,Мужской,"[""Uknown""]",Скончался при транспортировке,
1,2557528,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.502192, 'long': 44.586961}","[ ""Выезд с прилегающей территории"", ""Жилые дома индивидуальной застройки"", ""Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта)"" ]",Малгобекский район,820.0,"г Малгобек, ул Физкультурная, 1",['Ясно'],Наезд на пешехода,2021-03-26 19:15:00,Тяжёлый,0,1,Республика Ингушетия,"['Сухое', 'Отсутствие освещения']",2,"['Все участники', 'Пешеходы']",POINT (44.586961 43.502192),Пешеход,Женский,['Отсутствие световозвращающих элементов'],"Раненый, находящийся (находившийся) на стационарном лечении",2007.0,ВАЗ,Черный,Priora,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,"['Несоответствие скорости конкретным условиям движения', 'Эксплуатация ТС с техническими неисправностями, при которых запрещается их эксплуатация', 'Управление ТС лицом, не имеющим права на управление ТС', 'Несоблюдение требований ОСАГО']",Не пострадал,
2,2557534,['Дорожно-транспортные происшествия'],"В темное время суток, освещение включено","{'lat': 43.479293, 'long': 44.641796}","[ ""АЗС"", ""Нерегулируемый пешеходный переход"", ""Нерегулируемое пересечение с круговым движением"" ]",Малгобекский район,930.0,"с/п Сагопши, Назрань-Малгобек-Н. Курп-Терек, 52 км",['Ясно'],Наезд на препятствие,2021-03-09 02:30:00,С погибшими,1,2,Республика Ингушетия,['Сухое'],4,['Все участники'],POINT (44.641796 43.479293),,,,,2011.0,ВАЗ,Черный,ВАЗ 2114 и модификации,"С-класс (малый средний, компактный) до 4,3 м",Пассажир,Мужской,"[""Uknown""]",Скончался в течение 7 суток,
3,2654947,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.479713, 'long': 44.76506}","[ ""Жилые дома индивидуальной застройки"" ]",Малгобекский район,910.0,"с Зязиков-Юрт, Зязиков-Юрт-Гарагорск, 2 км",['Пасмурно'],Наезд на стоящее ТС,2021-11-28 19:35:00,Тяжёлый,0,1,Республика Ингушетия,['Сухое'],2,['Все участники'],POINT (44.76506 43.479713),,,,,2003.0,ВАЗ,Серый," Жигули  ВАЗ-2108, 09 и модификации                       ","С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,"['Управление ТС лицом, не имеющим права на управление ТС', 'Несоблюдение требований ОСАГО']",Не пострадал,
4,2654948,['Дорожно-транспортные происшествия'],"В темное время суток, освещение не включено","{'lat': 43.402366, 'long': 44.756477}","[ ""Жилые дома индивидуальной застройки"" ]",Малгобекский район,210.0,"с Нижние Ачалуки, ул Шоссейная, 11",['Ясно'],Столкновение,2021-11-21 18:00:00,Тяжёлый,0,1,Республика Ингушетия,"['Неисправное освещение', 'Сухое']",2,['Все участники'],POINT (44.756477 43.402366),,,,,2005.0,ВАЗ,Серый,ВАЗ 2112 и модификации,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,"[""Uknown""]",Не пострадал,9.0
5,2654951,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.479441, 'long': 44.652321}","[""Uknown""]",Малгобекский район,210.0,"с/п Сагопши, Назрань-Малгобек-Н. Курп-Терек, 49 км",['Ясно'],Столкновение,2021-11-20 19:10:00,Тяжёлый,0,1,Республика Ингушетия,['Сухое'],4,['Все участники'],POINT (44.652321 43.479441),,,,,2011.0,ВАЗ,Белый,ВАЗ 2115 и модификации,"В-класс (малый) до 3,9 м",Водитель,Мужской,"[""Uknown""]",Не пострадал,25.0
6,2654955,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.512222, 'long': 44.597347}","[ ""Жилые дома индивидуальной застройки"" ]",Малгобекский район,820.0,"г Малгобек, ул Промышленная, 2",['Ясно'],Наезд на пешехода,2021-11-16 20:50:00,Тяжёлый,0,1,Республика Ингушетия,"['Сухое', 'Отсутствие дорожных знаков в необходимых местах', 'Отсутствие освещения']",2,"['Все участники', 'Пешеходы']",POINT (44.597347 43.512222),Пешеход,Мужской,"['Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка)', 'Отсутствие световозвращающих элементов']","Раненый, находящийся (находившийся) на стационарном лечении",2000.0,HYUNDAI,Черный,Прочие модели Hyundai,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,"[""Uknown""]",Не пострадал,16.0
7,2643251,['Дорожно-транспортные происшествия'],"В темное время суток, освещение включено","{'lat': 43.510355, 'long': 44.585363}","[ ""Многоквартирные жилые дома"", ""Нерегулируемый пешеходный переход"" ]",Малгобекский район,740.0,"г Малгобек, ул Осканова, 6",['Дождь'],Наезд на пешехода,2021-10-03 18:00:00,С погибшими,1,0,Республика Ингушетия,['Мокрое'],2,"['Все участники', 'Пешеходы']",POINT (44.585363 43.510355),Пешеход,Мужской,['Отсутствие световозвращающих элементов'],Скончался в течение 1 суток,2012.0,ВАЗ,Черный,Priora,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,"['Несоответствие скорости конкретным условиям движения', 'Светопропускание стекол менее нормативного']",Не пострадал,6.0
8,2449134,"['Дорожно-транспортные происшествия', 'ДТП и пострадавшие дети в возрасте до 16 лет']",Сумерки,"{'lat': 43.345842, 'long': 44.695301}","[ ""Жилые дома индивидуальной застройки"", ""Нерегулируемый перекрёсток"", ""Объект торговли, общественного питания на автодороге вне НП"", ""Объект (здание, сооружение) религиозного культа"" ]",Малгобекский район,820.0,"с Верхние Ачалуки, ул Бекова, 0",['Ясно'],Наезд на пешехода,2018-07-19 20:10:00,Тяжёлый,0,2,Республика Ингушетия,"['Сухое', 'Неправильное применение, плохая видимость дорожных знаков']",5,"['Все участники', 'Пешеходы', 'Дети']",POINT (44.695301 43.345842),Пешеход,Мужской,"['Пешеход в возрасте до 7 лет без взрослого', 'Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода']","Раненый, находящийся (находившийся) на стационарном лечении",2007.0,ВАЗ,Зеленый,ВАЗ 2114 и модификации,"В-класс (малый) до 3,9 м",Водитель,Мужской,"['Несоответствие скорости конкретным условиям движения', 'Несоблюдение требований ОСАГО']",Не пострадал,5.0
9,2540525,['Дорожно-транспортные происшествия'],"В темное время суток, освещение включено","{'lat': 43.49553, 'long': 44.581468}","[ ""Жилые дома индивидуальной застройки"", ""Нерегулируемый перекрёсток неравнозначных улиц (дорог)"", ""Нерегулируемый пешеходный переход"" ]",Малгобекский район,420.0,"г Малгобек, ул Осканова, 112",['Ясно'],Столкновение,2021-01-29 21:50:00,Тяжёлый,0,1,Республика Ингушетия,"['Сухое', 'Неправильное применение, плохая видимость дорожных знаков']",3,['Все участники'],POINT (44.581468 43.49553),,,,,2004.0,ВАЗ,Серый,ВАЗ 2114 и модификации,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,"['Управление ТС лицом, лишенным права управления', 'Несоблюдение требований ОСАГО']",Не пострадал,
