,id,tags,light,point,nearby,region,scheme,address,weather,category,datetime,severity,vehicles,dead_count,participants,injured_count,parent_region,road_conditions,participants_count,participant_categories
0,2572468,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.461735, 'long': 44.760725}",[ ],Малгобекский район,070,"Назрань-Малгобек-Н. Курп-Терек, 39 км",['Ясно'],Столкновение,2021-05-15 22:40:00,С погибшими,"[ { ""year"": 2013, ""brand"": ""ВАЗ"", ""color"": ""Белый"", ""model"": ""ВАЗ 2114 и модификации"", ""category"": ""В-класс (малый) до 3,9 м"", ""participants"": [ { ""role"": ""Пассажир"", ""gender"": ""Мужской"", ""violations"": [ ], ""health_status"": ""Скончался при транспортировке"", ""years_of_driving_experience"": null }, { ""role"": ""Водитель"", ""gender"": ""Мужской"", ""violations"": [ ""Несоответствие скорости конкретным условиям движения"", ""Управление ТС лицом, не имеющим права на управление ТС"", ""Несоблюдение требований ОСАГО"" ], ""health_status"": ""Скончался на месте ДТП по прибытию скорой медицинской помощи, но до транспортировки в мед. организацию"", ""years_of_driving_experience"": null } ] }, { ""year"": 2008, ""brand"": ""ВАЗ"", ""color"": ""Многоцветный"", ""model"": "" Нива  ВАЗ-2121 и модификации"", ""category"": ""С-класс (малый средний, компактный) до 4,3 м"", ""participants"": [ { ""role"": ""Пассажир"", ""gender"": ""Мужской"", ""violations"": [ ], ""health_status"": ""Не пострадал"", ""years_of_driving_experience"": null }, { ""role"": ""Водитель"", ""gender"": ""Мужской"", ""violations"": [ ""Нарушение правил пользования внешними световыми приборами"", ""Несоблюдение требований ОСАГО"" ], ""health_status"": ""Не пострадал"", ""years_of_driving_experience"": 16 } ] } ]",2,[ ],0,Республика Ингушетия,['Сухое'],4,['Все участники']
1,2557528,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.502192, 'long': 44.586961}","[ ""Выезд с прилегающей территории"", ""Жилые дома индивидуальной застройки"", ""Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта)"" ]",Малгобекский район,820,"г Малгобек, ул Физкультурная, 1",['Ясно'],Наезд на пешехода,2021-03-26 19:15:00,Тяжёлый,"[ { ""year"": 2007, ""brand"": ""ВАЗ"", ""color"": ""Черный"", ""model"": ""Priora"", ""category"": ""С-класс (малый средний, компактный) до 4,3 м"", ""participants"": [ { ""role"": ""Водитель"", ""gender"": ""Мужской"", ""violations"": [ ""Несоответствие скорости конкретным условиям движения"", ""Эксплуатация ТС с техническими неисправностями, при которых запрещается их эксплуатация"", ""Управление ТС лицом, не имеющим права на управление ТС"", ""Несоблюдение требований ОСАГО"" ], ""health_status"": ""Не пострадал"", ""years_of_driving_experience"": null } ] } ]",0,"[ { ""role"": ""Пешеход"", ""gender"": ""Женский"", ""violations"": [ ""Отсутствие световозвращающих элементов"" ], ""health_status"": ""Раненый, находящийся (находившийся) на стационарном лечении"" } ]",1,Республика Ингушетия,"['Сухое', 'Отсутствие освещения']",2,"['Все участники', 'Пешеходы']"
2,2557534,['Дорожно-транспортные происшествия'],"В темное время суток, освещение включено","{'lat': 43.479293, 'long': 44.641796}","[ ""АЗС"", ""Нерегулируемый пешеходный переход"", ""Нерегулируемое пересечение с круговым движением"" ]",Малгобекский район,930,"с/п Сагопши, Назрань-Малгобек-Н. Курп-Терек, 52 км",['Ясно'],Наезд на препятствие,2021-03-09 02:30:00,С погибшими,"[ { ""year"": 2011, ""brand"": ""ВАЗ"", ""color"": ""Черный"", ""model"": ""ВАЗ 2114 и модификации"", ""category"": ""С-класс (малый средний, компактный) до 4,3 м"", ""participants"": [ { ""role"": ""Пассажир"", ""gender"": ""Мужской"", ""violations"": [ ], ""health_status"": ""Скончался в течение 7 суток"", ""years_of_driving_experience"": null }, { ""role"": ""Пассажир"", ""gender"": ""Женский"", ""violations"": [ ], ""health_status"": ""Раненый, находящийся (находившийся) на стационарном лечении"", ""years_of_driving_experience"": null }, { ""role"": ""Пассажир"", ""gender"": ""Женский"", ""violations"": [ ], ""health_status"": ""Раненый, находящийся (находившийся) на стационарном лечении"", ""years_of_driving_experience"": null }, { ""role"": ""Водитель"", ""gender"": ""Мужской"", ""violations"": [ ""Превышение установленной скорости движения"", ""Управление ТС лицом, лишенным права управления"", ""Управление ТС в состоянии алкогольного опьянения"", ""Несоблюдение требований ОСАГО"" ], ""health_status"": ""Получил травмы с оказанием разовой медицинской помощи, к категории раненый не относится"", ""years_of_driving_experience"": null } ] } ]",1,[ ],2,Республика Ингушетия,['Сухое'],4,['Все участники']
3,2654947,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.479713, 'long': 44.76506}","[ ""Жилые дома индивидуальной застройки"" ]",Малгобекский район,910,"с Зязиков-Юрт, Зязиков-Юрт-Гарагорск, 2 км",['Пасмурно'],Наезд на стоящее ТС,2021-11-28 19:35:00,Тяжёлый,"[ { ""year"": 2003, ""brand"": ""ВАЗ"", ""color"": ""Серый"", ""model"": "" Жигули  ВАЗ-2108, 09 и модификации                       "", ""category"": ""С-класс (малый средний, компактный) до 4,3 м"", ""participants"": [ { ""role"": ""Водитель"", ""gender"": ""Мужской"", ""violations"": [ ""Управление ТС лицом, не имеющим права на управление ТС"", ""Несоблюдение требований ОСАГО"" ], ""health_status"": ""Не пострадал"", ""years_of_driving_experience"": null } ] }, { ""year"": 2010, ""brand"": ""ВАЗ"", ""color"": ""Серый"", ""model"": ""ВАЗ 2110, 21101, 21102, 21103, 21108"", ""category"": ""С-класс (малый средний, компактный) до 4,3 м"", ""participants"": [ { ""role"": ""Водитель"", ""gender"": ""Мужской"", ""violations"": [ ""Неправильный выбор дистанции"" ], ""health_status"": ""Раненый, находящийся (находившийся) на стационарном лечении"", ""years_of_driving_experience"": 24 } ] } ]",0,[ ],1,Республика Ингушетия,['Сухое'],2,['Все участники']
4,2654948,['Дорожно-транспортные происшествия'],"В темное время суток, освещение не включено","{'lat': 43.402366, 'long': 44.756477}","[ ""Жилые дома индивидуальной застройки"" ]",Малгобекский район,210,"с Нижние Ачалуки, ул Шоссейная, 11",['Ясно'],Столкновение,2021-11-21 18:00:00,Тяжёлый,"[ { ""year"": 2005, ""brand"": ""ВАЗ"", ""color"": ""Серый"", ""model"": ""ВАЗ 2112 и модификации"", ""category"": ""С-класс (малый средний, компактный) до 4,3 м"", ""participants"": [ { ""role"": ""Водитель"", ""gender"": ""Мужской"", ""violations"": [ ], ""health_status"": ""Не пострадал"", ""years_of_driving_experience"": 9 } ] }, { ""year"": 2011, ""brand"": ""ВАЗ"", ""color"": ""Белый"", ""model"": ""Priora"", ""category"": ""С-класс (малый средний, компактный) до 4,3 м"", ""participants"": [ { ""role"": ""Водитель"", ""gender"": ""Мужской"", ""violations"": [ ""Нарушение правил расположения ТС на проезжей части"" ], ""health_status"": ""Раненый, находящийся (находившийся) на стационарном лечении"", ""years_of_driving_experience"": 8 } ] } ]",0,[ ],1,Республика Ингушетия,"['Неисправное освещение', 'Сухое']",2,['Все участники']
5,2654951,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.479441, 'long': 44.652321}",[ ],Малгобекский район,210,"с/п Сагопши, Назрань-Малгобек-Н. Курп-Терек, 49 км",['Ясно'],Столкновение,2021-11-20 19:10:00,Тяжёлый,"[ { ""year"": 2011, ""brand"": ""ВАЗ"", ""color"": ""Белый"", ""model"": ""ВАЗ 2115 и модификации"", ""category"": ""В-класс (малый) до 3,9 м"", ""participants"": [ { ""role"": ""Водитель"", ""gender"": ""Мужской"", ""violations"": [ ], ""health_status"": ""Не пострадал"", ""years_of_driving_experience"": 25 } ] }, { ""year"": 2004, ""brand"": ""ВАЗ"", ""color"": ""Зеленый"", ""model"": ""ВАЗ 2110, 21101, 21102, 21103, 21108"", ""category"": ""В-класс (малый) до 3,9 м"", ""participants"": [ { ""role"": ""Водитель"", ""gender"": ""Мужской"", ""violations"": [ ""Нарушение правил расположения ТС на проезжей части"", ""Управление ТС в состоянии алкогольного опьянения"" ], ""health_status"": ""Раненый, находящийся (находившийся) на стационарном лечении"", ""years_of_driving_experience"": 29 } ] }, { ""year"": 2012, ""brand"": ""ГАЗ"", ""color"": ""Белый"", ""model"": ""3221  Газель , 32217, 32213, 32212, 322172, 322132, 322133 и модификации"", ""category"": ""Прочие одноярусные"", ""participants"": [ { ""role"": ""Водитель"", ""gender"": ""Мужской"", ""violations"": [ ""Нарушение режима труда и отдыха водителя"", ""Несоблюдение требований ОСАГО"" ], ""health_status"": ""Не пострадал"", ""years_of_driving_experience"": 30 } ] }, { ""year"": 2013, ""brand"": ""ВАЗ"", ""color"": ""Серый"", ""model"": ""Granta (Гранта)"", ""category"": ""Прочие легковые автомобили"", ""participants"": [ { ""role"": ""Водитель"", ""gender"": ""Мужской"", ""violations"": [ ], ""health_status"": ""Не пострадал"", ""years_of_driving_experience"": 32 } ] } ]",0,[ ],1,Республика Ингушетия,['Сухое'],4,['Все участники']
6,2654955,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.512222, 'long': 44.597347}","[ ""Жилые дома индивидуальной застройки"" ]",Малгобекский район,820,"г Малгобек, ул Промышленная, 2",['Ясно'],Наезд на пешехода,2021-11-16 20:50:00,Тяжёлый,"[ { ""year"": 2000, ""brand"": ""HYUNDAI"", ""color"": ""Черный"", ""model"": ""Прочие модели Hyundai"", ""category"": ""С-класс (малый средний, компактный) до 4,3 м"", ""participants"": [ { ""role"": ""Водитель"", ""gender"": ""Мужской"", ""violations"": [ ], ""health_status"": ""Не пострадал"", ""years_of_driving_experience"": 16 } ] } ]",0,"[ { ""role"": ""Пешеход"", ""gender"": ""Мужской"", ""violations"": [ ""Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка)"", ""Отсутствие световозвращающих элементов"" ], ""health_status"": ""Раненый, находящийся (находившийся) на стационарном лечении"" } ]",1,Республика Ингушетия,"['Сухое', 'Отсутствие дорожных знаков в необходимых местах', 'Отсутствие освещения']",2,"['Все участники', 'Пешеходы']"
7,2643251,['Дорожно-транспортные происшествия'],"В темное время суток, освещение включено","{'lat': 43.510355, 'long': 44.585363}","[ ""Многоквартирные жилые дома"", ""Нерегулируемый пешеходный переход"" ]",Малгобекский район,740,"г Малгобек, ул Осканова, 6",['Дождь'],Наезд на пешехода,2021-10-03 18:00:00,С погибшими,"[ { ""year"": 2012, ""brand"": ""ВАЗ"", ""color"": ""Черный"", ""model"": ""Priora"", ""category"": ""С-класс (малый средний, компактный) до 4,3 м"", ""participants"": [ { ""role"": ""Водитель"", ""gender"": ""Мужской"", ""violations"": [ ""Несоответствие скорости конкретным условиям движения"", ""Светопропускание стекол менее нормативного"" ], ""health_status"": ""Не пострадал"", ""years_of_driving_experience"": 6 } ] } ]",1,"[ { ""role"": ""Пешеход"", ""gender"": ""Мужской"", ""violations"": [ ""Отсутствие световозвращающих элементов"" ], ""health_status"": ""Скончался в течение 1 суток"" } ]",0,Республика Ингушетия,['Мокрое'],2,"['Все участники', 'Пешеходы']"
8,2449134,"['Дорожно-транспортные происшествия', 'ДТП и пострадавшие дети в возрасте до 16 лет']",Сумерки,"{'lat': 43.345842, 'long': 44.695301}","[ ""Жилые дома индивидуальной застройки"", ""Нерегулируемый перекрёсток"", ""Объект торговли, общественного питания на автодороге вне НП"", ""Объект (здание, сооружение) религиозного культа"" ]",Малгобекский район,820,"с Верхние Ачалуки, ул Бекова, 0",['Ясно'],Наезд на пешехода,2018-07-19 20:10:00,Тяжёлый,"[ { ""year"": 2007, ""brand"": ""ВАЗ"", ""color"": ""Зеленый"", ""model"": ""ВАЗ 2114 и модификации"", ""category"": ""В-класс (малый) до 3,9 м"", ""participants"": [ { ""role"": ""Водитель"", ""gender"": ""Мужской"", ""violations"": [ ""Несоответствие скорости конкретным условиям движения"", ""Несоблюдение требований ОСАГО"" ], ""health_status"": ""Не пострадал"", ""years_of_driving_experience"": 5 }, { ""role"": ""Пассажир"", ""gender"": ""Женский"", ""violations"": [ ], ""health_status"": ""Не пострадал"", ""years_of_driving_experience"": null }, { ""role"": ""Пассажир"", ""gender"": ""Женский"", ""violations"": [ ], ""health_status"": ""Не пострадал"", ""years_of_driving_experience"": null } ] } ]",0,"[ { ""role"": ""Пешеход"", ""gender"": ""Мужской"", ""violations"": [ ""Пешеход в возрасте до 7 лет без взрослого"", ""Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода"" ], ""health_status"": ""Раненый, находящийся (находившийся) на стационарном лечении"" }, { ""role"": ""Пешеход"", ""gender"": ""Мужской"", ""violations"": [ ""Пешеход в возрасте до 7 лет без взрослого"", ""Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода"" ], ""health_status"": ""Раненый, находящийся (находившийся) на стационарном лечении"" } ]",2,Республика Ингушетия,"['Сухое', 'Неправильное применение, плохая видимость дорожных знаков']",5,"['Все участники', 'Пешеходы', 'Дети']"
9,2540525,['Дорожно-транспортные происшествия'],"В темное время суток, освещение включено","{'lat': 43.49553, 'long': 44.581468}","[ ""Жилые дома индивидуальной застройки"", ""Нерегулируемый перекрёсток неравнозначных улиц (дорог)"", ""Нерегулируемый пешеходный переход"" ]",Малгобекский район,420,"г Малгобек, ул Осканова, 112",['Ясно'],Столкновение,2021-01-29 21:50:00,Тяжёлый,"[ { ""year"": 2004, ""brand"": ""ВАЗ"", ""color"": ""Серый"", ""model"": ""ВАЗ 2114 и модификации"", ""category"": ""С-класс (малый средний, компактный) до 4,3 м"", ""participants"": [ { ""role"": ""Водитель"", ""gender"": ""Мужской"", ""violations"": [ ""Управление ТС лицом, лишенным права управления"", ""Несоблюдение требований ОСАГО"" ], ""health_status"": ""Не пострадал"", ""years_of_driving_experience"": null } ] }, { ""year"": 2002, ""brand"": ""ВАЗ"", ""color"": ""Синий"", ""model"": "" Жигули  ВАЗ-2108, 09 и модификации                       "", ""category"": ""С-класс (малый средний, компактный) до 4,3 м"", ""participants"": [ { ""role"": ""Пассажир"", ""gender"": ""Мужской"", ""violations"": [ ], ""health_status"": ""Раненый, находящийся (находившийся) на стационарном лечении"", ""years_of_driving_experience"": null }, { ""role"": ""Водитель"", ""gender"": ""Мужской"", ""violations"": [ ""Несоблюдение очередности проезда"", ""Несоблюдение требований ОСАГО"" ], ""health_status"": ""Не пострадал"", ""years_of_driving_experience"": 3 } ] } ]",0,[ ],1,Республика Ингушетия,"['Сухое', 'Неправильное применение, плохая видимость дорожных знаков']",3,['Все участники']
